Open_Time,Open,High,Low,Close,Volume
2020-09-14 00:00:00,3.2002,4.91,3.2002,3.3799,2162058
2020-09-14 12:00:00,3.3748,3.49,3.2224,3.2661,2626113
2020-09-15 00:00:00,3.2629,3.3258,3.125,3.2371,2049956
2020-09-15 12:00:00,3.2385,3.3149,2.9001,2.9332,2268349
2020-09-16 00:00:00,2.9299,2.9299,2.5011,2.587,2811300
2020-09-16 12:00:00,2.5811,2.6654,2.4316,2.5395,2886828
2020-09-17 00:00:00,2.54,2.7,2.3569,2.5396,3182249
2020-09-17 12:00:00,2.5395,2.936,2.5056,2.8855,3317089
2020-09-18 00:00:00,2.8821,3.15,2.724,3.0668,3139425
2020-09-18 12:00:00,3.0668,3.1438,2.7989,3.108,3171371
2020-09-19 00:00:00,3.108,3.2509,2.955,3.0428,2734716
2020-09-19 12:00:00,3.0424,3.1536,2.9616,3.0193,2269698
2020-09-20 00:00:00,3.0159,3.0173,2.8473,2.9616,2026072
2020-09-20 12:00:00,2.9626,2.9678,2.6876,2.8635,2404711
2020-09-21 00:00:00,2.8567,3.03,2.4576,2.6142,3327109
2020-09-21 12:00:00,2.615,2.8801,2.5,2.7539,2972595
2020-09-22 00:00:00,2.7544,2.9813,2.6094,2.8096,4311858
2020-09-22 12:00:00,2.8095,3.01,2.7812,2.9183,4631048
2020-09-23 00:00:00,2.9196,3.0935,2.7205,2.9298,4371830
2020-09-23 12:00:00,2.9301,3.0162,2.6863,2.8313,2919951
2020-09-24 00:00:00,2.835,3.0547,2.7607,3.0094,3170207
2020-09-24 12:00:00,3.0098,3.2538,2.8885,3.1392,3394404
2020-09-25 00:00:00,3.1314,3.1819,2.898,3.0239,3032694
2020-09-25 12:00:00,3.028,3.2698,2.9695,3.1821,2893050
2020-09-26 00:00:00,3.1871,3.249,3.067,3.1426,2458516
2020-09-26 12:00:00,3.1415,3.1562,3.017,3.1262,2575292
2020-09-27 00:00:00,3.1275,3.184,2.977,3.0446,2236089
2020-09-27 12:00:00,3.0444,3.1883,3.0245,3.1617,2448050
2020-09-28 00:00:00,3.1596,3.2116,3.0219,3.039,2420573
2020-09-28 12:00:00,3.0389,3.0876,2.8909,2.9564,2534113
2020-09-29 00:00:00,2.956,3.0156,2.9114,2.9908,2091064
2020-09-29 12:00:00,2.9935,3.0207,2.874,2.9517,2339870
2020-09-30 00:00:00,2.95,2.989,2.8487,2.8505,2004008
2020-09-30 12:00:00,2.8487,2.9138,2.8285,2.9004,1947825
2020-10-01 00:00:00,2.9008,2.9968,2.8943,2.958,2033598
2020-10-01 12:00:00,2.9577,2.959,2.6546,2.8701,2819087
2020-10-02 00:00:00,2.8694,2.8851,2.4224,2.4777,2980804
2020-10-02 12:00:00,2.4797,2.674,2.4513,2.6236,2602053
2020-10-03 00:00:00,2.6271,2.6667,2.6064,2.6656,1975179
2020-10-03 12:00:00,2.6654,2.6689,2.5326,2.5454,2175161
2020-10-04 00:00:00,2.5447,2.5909,2.4476,2.5376,2287265
2020-10-04 12:00:00,2.5367,2.5462,2.4266,2.5236,2354401
2020-10-05 00:00:00,2.5244,2.5717,2.4561,2.5264,2070478
2020-10-05 12:00:00,2.5257,2.677,2.5204,2.6495,2350985
2020-10-06 00:00:00,2.6517,2.661,2.3629,2.3962,2241691
2020-10-06 12:00:00,2.3958,2.4711,2.1346,2.1732,3193316
2020-10-07 00:00:00,2.1725,2.3053,2.0854,2.2121,3165569
2020-10-07 12:00:00,2.2121,2.4,2.2121,2.3027,3461848
2020-10-08 00:00:00,2.3036,2.3098,2.0117,2.1684,4006890
2020-10-08 12:00:00,2.1686,2.4629,2.1518,2.3716,4378530
2020-10-09 00:00:00,2.3717,2.6276,2.3101,2.5493,4064707
2020-10-09 12:00:00,2.5504,2.6289,2.47,2.5363,2597689
2020-10-10 00:00:00,2.5356,2.611,2.4737,2.5003,2728444
2020-10-10 12:00:00,2.5008,2.5522,2.3907,2.407,2759042
2020-10-11 00:00:00,2.4065,2.46,2.3378,2.4539,2562127
2020-10-11 12:00:00,2.4538,2.4609,2.3792,2.4257,2342417
2020-10-12 00:00:00,2.4269,2.5968,2.4171,2.4753,2906479
2020-10-12 12:00:00,2.4748,2.7096,2.4692,2.5825,3476393
2020-10-13 00:00:00,2.582,2.5889,2.4369,2.512,3083688
2020-10-13 12:00:00,2.5119,2.563,2.3355,2.4048,3800124
2020-10-14 00:00:00,2.4053,2.4464,2.3433,2.3462,2305872
2020-10-14 12:00:00,2.3481,2.3984,2.2337,2.3087,2684895
2020-10-15 00:00:00,2.3102,2.3443,2.1928,2.2455,2398228
2020-10-15 12:00:00,2.2448,2.305,2.2259,2.267,2126246
2020-10-16 00:00:00,2.2668,2.2708,2.103,2.1785,2632198
2020-10-16 12:00:00,2.1785,2.2534,2.1367,2.1404,3160159
2020-10-17 00:00:00,2.1401,2.2425,2.11,2.219,2137757
2020-10-17 12:00:00,2.2188,2.2268,2.1602,2.2062,1998965
2020-10-18 00:00:00,2.2069,2.2494,2.1939,2.2058,1889151
2020-10-18 12:00:00,2.2041,2.2649,2.1804,2.2186,2018440
2020-10-19 00:00:00,2.2167,2.2206,2.0512,2.0653,2450707
2020-10-19 12:00:00,2.0673,2.1181,2.051,2.0578,2383731
2020-10-20 00:00:00,2.0576,2.1083,1.8457,1.8507,2972454
2020-10-20 12:00:00,1.851,1.9722,1.8466,1.8905,3079913
2020-10-21 00:00:00,1.8885,1.9946,1.884,1.9248,2333607
2020-10-21 12:00:00,1.9222,2.1098,1.8474,1.8933,7774582
2020-10-22 00:00:00,1.8933,2.0756,1.8629,2.0707,3479135
2020-10-22 12:00:00,2.0716,2.0905,1.9414,1.9619,2663934
2020-10-23 00:00:00,1.962,1.9938,1.9145,1.9563,2491767
2020-10-23 12:00:00,1.956,1.9904,1.8502,1.9645,2962952
2020-10-24 00:00:00,1.9666,1.9715,1.9032,1.934,1885412
2020-10-24 12:00:00,1.9341,1.9734,1.88,1.9196,2173643
2020-10-25 00:00:00,1.9179,1.9281,1.8454,1.8799,2796113
2020-10-25 12:00:00,1.88,1.8955,1.7628,1.7937,2944204
2020-10-26 00:00:00,1.7946,1.853,1.7753,1.8437,2392702
2020-10-26 12:00:00,1.8426,1.8723,1.6162,1.6786,4141559
2020-10-27 00:00:00,1.6777,1.7176,1.5928,1.6851,3598123
2020-10-27 12:00:00,1.6842,1.7542,1.6728,1.7135,3449813
2020-10-28 00:00:00,1.7131,1.7287,1.4555,1.557,5515381
2020-10-28 12:00:00,1.5568,1.635,1.4662,1.5196,4726759
2020-10-29 00:00:00,1.5195,1.5773,1.4951,1.4954,2565317
2020-10-29 12:00:00,1.4954,1.528,1.4146,1.4325,3776148
2020-10-30 00:00:00,1.4321,1.4586,1.3379,1.3785,4135475
2020-10-30 12:00:00,1.3787,1.4677,1.3737,1.4378,2902539
2020-10-31 00:00:00,1.4367,1.5172,1.4269,1.4774,3327397
2020-10-31 12:00:00,1.4774,1.5501,1.471,1.5472,2635199
2020-11-01 00:00:00,1.5474,1.579,1.5132,1.5341,2673736
2020-11-01 12:00:00,1.5344,1.6465,1.5263,1.6076,2841040
2020-11-02 00:00:00,1.6062,1.6426,1.4823,1.4871,2746204
2020-11-02 12:00:00,1.4869,1.5,1.4644,1.4741,2547223
2020-11-03 00:00:00,1.4729,1.4857,1.4203,1.447,2808141
2020-11-03 12:00:00,1.4471,1.4747,1.4109,1.4131,2662076
2020-11-04 00:00:00,1.4149,1.4166,1.3432,1.3603,3355306
2020-11-04 12:00:00,1.3616,1.4102,1.2737,1.391,4116373
2020-11-05 00:00:00,1.3912,1.4267,1.3391,1.3405,2628900
2020-11-05 12:00:00,1.3407,1.489,1.302,1.4011,4638256
2020-11-06 00:00:00,1.4015,1.7549,1.3954,1.715,6106028
2020-11-06 12:00:00,1.7154,1.9474,1.664,1.8998,9742172
2020-11-07 00:00:00,1.8978,2.46,1.8963,2.3997,17475329
2020-11-07 12:00:00,2.4005,2.5,1.8324,2.0283,19232406
2020-11-08 00:00:00,2.0304,2.1986,1.965,2.1666,8739089
2020-11-08 12:00:00,2.1654,2.2868,2.0444,2.1571,8173946
2020-11-09 00:00:00,2.1571,2.2024,2.022,2.1647,7069513
2020-11-09 12:00:00,2.1659,2.1743,1.9517,2.0393,6390590
2020-11-10 00:00:00,2.0417,2.2455,2.0088,2.1396,4086899
2020-11-10 12:00:00,2.1395,2.3306,2.1304,2.2652,4875091
2020-11-11 00:00:00,2.2659,2.3041,2.1078,2.1092,3144888
2020-11-11 12:00:00,2.1113,2.164,1.9674,2.003,4056699
2020-11-12 00:00:00,2.0012,2.0618,1.9143,1.9689,3483342
2020-11-12 12:00:00,1.9689,1.9939,1.8265,1.9083,3365415
2020-11-13 00:00:00,1.9082,2.0521,1.9,2.0084,3318863
2020-11-13 12:00:00,2.0085,2.0821,1.9662,2.0191,3606520
2020-11-14 00:00:00,2.0182,2.0381,1.8749,1.904,3187455
2020-11-14 12:00:00,1.9034,1.96,1.8785,1.92,3164961
2020-11-15 00:00:00,1.9206,2.2059,1.9131,2.1256,5525351
2020-11-15 12:00:00,2.1254,2.2252,1.931,2.0431,6134158
2020-11-16 00:00:00,2.0421,2.3568,1.9859,2.2739,6420883
2020-11-16 12:00:00,2.2733,2.372,2.1822,2.268,4945576
2020-11-17 00:00:00,2.2681,2.3333,2.194,2.226,3514644
2020-11-17 12:00:00,2.226,2.3431,2.1263,2.207,6756579
2020-11-18 00:00:00,2.2041,2.2246,2.0011,2.0796,5172233
2020-11-18 12:00:00,2.0813,2.1366,1.9977,2.1166,4328673
2020-11-19 00:00:00,2.1151,2.1265,2.0125,2.0623,3648718
2020-11-19 12:00:00,2.0633,2.1883,2.0287,2.0797,4368750
2020-11-20 00:00:00,2.0802,2.2133,2.0515,2.1834,3850551
2020-11-20 12:00:00,2.1824,2.2445,2.0788,2.1052,4770561
2020-11-21 00:00:00,2.1079,2.2453,2.0313,2.1665,5138994
2020-11-21 12:00:00,2.1665,2.5204,2.14,2.3991,9457129
2020-11-22 00:00:00,2.4013,2.4287,2.0302,2.097,5849199
2020-11-22 12:00:00,2.1009,2.2816,2.0755,2.1502,5286447
2020-11-23 00:00:00,2.1488,2.3611,2.1045,2.2878,4953124
2020-11-23 12:00:00,2.29,2.3298,2.15,2.2826,5450186
2020-11-24 00:00:00,2.2839,2.484,2.1476,2.2236,10321887
2020-11-24 12:00:00,2.2237,2.3029,2.1323,2.2894,5125518
2020-11-25 00:00:00,2.2896,2.38,2.1686,2.3058,5560839
2020-11-25 12:00:00,2.3059,2.4856,2.1736,2.2673,11060604
2020-11-26 00:00:00,2.2651,2.3097,1.712,1.8371,10233551
2020-11-26 12:00:00,1.837,1.9074,1.724,1.9032,5901182
2020-11-27 00:00:00,1.902,1.9621,1.7925,1.8201,4217499
2020-11-27 12:00:00,1.8195,1.9285,1.7643,1.8558,3790556
2020-11-28 00:00:00,1.8551,1.8707,1.7912,1.8593,2793901
2020-11-28 12:00:00,1.8593,1.9382,1.8489,1.8821,3305911
2020-11-29 00:00:00,1.8813,1.9418,1.8439,1.9206,2651999
2020-11-29 12:00:00,1.9206,1.9324,1.8628,1.9093,2548777
2020-11-30 00:00:00,1.9101,1.9766,1.8979,1.956,2891547
2020-11-30 12:00:00,1.9568,2.015,1.9331,1.959,3820646
2020-12-01 00:00:00,1.9594,2.1334,1.9232,2.0609,4260691
2020-12-01 12:00:00,2.0619,2.0845,1.9032,1.9695,5219942
2020-12-02 00:00:00,1.9681,2.093,1.9252,2.0783,3604168
2020-12-02 12:00:00,2.0787,2.2047,2.0324,2.116,5187668
2020-12-03 00:00:00,2.1152,2.2223,2.0705,2.2031,5022705
2020-12-03 12:00:00,2.203,2.2184,2.0841,2.0989,3684701
2020-12-04 00:00:00,2.0985,2.1129,1.9394,1.943,3442225
2020-12-04 12:00:00,1.9424,1.9822,1.8256,1.8463,3606293
2020-12-05 00:00:00,1.8449,1.9337,1.8158,1.9095,2843844
2020-12-05 12:00:00,1.9094,1.9816,1.8848,1.9776,2451108
2020-12-06 00:00:00,1.9776,1.9899,1.8467,1.8767,2238599
2020-12-06 12:00:00,1.8769,1.877,1.8097,1.8515,2850011
2020-12-07 00:00:00,1.8517,1.8585,1.8221,1.8265,1893288
2020-12-07 12:00:00,1.8277,1.9006,1.81,1.8299,2730030
2020-12-08 00:00:00,1.8287,1.8322,1.652,1.6795,3915565
2020-12-08 12:00:00,1.6795,1.7622,1.6271,1.6617,3558214
2020-12-09 00:00:00,1.6617,1.6717,1.4969,1.6236,3583998
2020-12-09 12:00:00,1.6235,1.6724,1.5954,1.6553,3433015
2020-12-10 00:00:00,1.6552,1.6644,1.5492,1.5726,2810781
2020-12-10 12:00:00,1.5713,1.6212,1.5409,1.5686,3721469
2020-12-11 00:00:00,1.5686,1.5778,1.4466,1.4504,3525675
2020-12-11 12:00:00,1.4508,1.4994,1.4316,1.4406,3072295
2020-12-12 00:00:00,1.4394,1.5279,1.4362,1.5258,3590009
2020-12-12 12:00:00,1.526,1.5337,1.4625,1.4886,3303485
2020-12-13 00:00:00,1.4879,1.5618,1.454,1.5542,3011985
2020-12-13 12:00:00,1.5547,1.65,1.54,1.5636,6286372
2020-12-14 00:00:00,1.564,1.6244,1.5333,1.5446,4013738
2020-12-14 12:00:00,1.5457,1.6057,1.5198,1.5936,3677156
2020-12-15 00:00:00,1.5927,1.8012,1.5858,1.7711,9597632
2020-12-15 12:00:00,1.7706,1.7836,1.695,1.7534,5732563
2020-12-16 00:00:00,1.7534,1.7549,1.6,1.6364,5520598
2020-12-16 12:00:00,1.6373,1.7986,1.6144,1.7869,8221758
2020-12-17 00:00:00,1.7865,1.8167,1.669,1.7413,6712097
2020-12-17 12:00:00,1.741,1.7638,1.6382,1.6808,4906391
2020-12-18 00:00:00,1.68,1.7104,1.6317,1.6812,3464353
2020-12-18 12:00:00,1.6809,1.7027,1.6393,1.7003,3267902
2020-12-19 00:00:00,1.701,1.768,1.6936,1.7497,3833655
2020-12-19 12:00:00,1.749,1.7695,1.6562,1.6683,3923652
2020-12-20 00:00:00,1.6673,1.6888,1.6069,1.6662,2440946
2020-12-20 12:00:00,1.6667,1.6667,1.5178,1.5638,3410979
2020-12-21 00:00:00,1.565,1.6198,1.5052,1.515,3193224
2020-12-21 12:00:00,1.5148,1.56,1.4916,1.5347,2546304
2020-12-22 00:00:00,1.5353,1.5626,1.4696,1.5192,3714839
2020-12-22 12:00:00,1.5189,1.5722,1.47,1.4905,3772088
2020-12-23 00:00:00,1.4903,1.5133,1.2809,1.3176,5400012
2020-12-23 12:00:00,1.3172,1.385,1.069,1.1975,8768305
2020-12-24 00:00:00,1.1975,1.3001,1.1574,1.2854,7765742
2020-12-24 12:00:00,1.2854,1.3859,1.2683,1.3638,3960266
2020-12-25 00:00:00,1.3654,1.4514,1.3444,1.4062,4178198
2020-12-25 12:00:00,1.4065,1.4457,1.3552,1.4448,4414648
2020-12-26 00:00:00,1.4447,1.4463,1.3375,1.3747,2485606
2020-12-26 12:00:00,1.3744,1.3941,1.3069,1.3215,3716178
2020-12-27 00:00:00,1.3209,1.3339,1.273,1.2949,4009318
2020-12-27 12:00:00,1.2939,1.4148,1.2544,1.3023,7056077
2020-12-28 00:00:00,1.3027,1.3842,1.2857,1.3815,3863719
2020-12-28 12:00:00,1.3816,1.5222,1.3413,1.5169,7110788
2020-12-29 00:00:00,1.5165,1.6491,1.4321,1.5734,12679590
2020-12-29 12:00:00,1.5731,1.7293,1.5,1.666,11397751
2020-12-30 00:00:00,1.6661,1.686,1.5323,1.5747,5239661
2020-12-30 12:00:00,1.5735,1.6065,1.5152,1.5304,5284012
2020-12-31 00:00:00,1.5319,1.5393,1.467,1.4889,4840357
2020-12-31 12:00:00,1.4893,1.5445,1.412,1.504,5857367
2021-01-01 00:00:00,1.5043,1.633,1.489,1.6244,6301745
2021-01-01 12:00:00,1.6243,1.8498,1.5814,1.8382,12511696
2021-01-02 00:00:00,1.8377,1.8983,1.7091,1.7629,10374117
2021-01-02 12:00:00,1.7641,1.9951,1.7138,1.7976,12027429
2021-01-03 00:00:00,1.7978,2.3589,1.7956,2.2602,16059414
2021-01-03 12:00:00,2.259,2.3261,1.885,2.1767,21687637
2021-01-04 00:00:00,2.1783,2.3999,1.8182,2.0433,19767255
2021-01-04 12:00:00,2.0433,2.49,2.0137,2.4832,16199589
2021-01-05 00:00:00,2.4803,2.5012,2.0527,2.3778,16298476
2021-01-05 12:00:00,2.3778,2.399,2.073,2.1355,16683101
2021-01-06 00:00:00,2.1385,2.1448,1.9001,2.0324,20089502
2021-01-06 12:00:00,2.0322,2.1578,1.6734,1.8753,32130164
2021-01-07 00:00:00,1.8722,2.4226,1.8123,2.215,59499972
2021-01-07 12:00:00,2.2151,2.733,2.151,2.3651,46084310
2021-01-08 00:00:00,2.365,3.5346,2.18,3.1504,34807735
2021-01-08 12:00:00,3.1523,3.848,3.0043,3.222,35305852
2021-01-09 00:00:00,3.222,3.3622,3.0452,3.1409,13104915
2021-01-09 12:00:00,3.14,3.7,2.91,3.3776,20485581
2021-01-10 00:00:00,3.3757,3.764,3.1922,3.2544,11881073
2021-01-10 12:00:00,3.251,3.4944,3.15,3.446,10091296
2021-01-11 00:00:00,3.4453,3.5257,2.846,2.8717,12555745
2021-01-11 12:00:00,2.8704,3.1099,2.5833,3.0988,12291036
2021-01-12 00:00:00,3.0962,3.4922,3.0477,3.4215,7081574
2021-01-12 12:00:00,3.4234,3.904,3.1507,3.6276,15769824
2021-01-13 00:00:00,3.629,3.6398,3.2472,3.3702,8362752
2021-01-13 12:00:00,3.3711,3.6249,3.3252,3.5291,7972816
2021-01-14 00:00:00,3.5281,3.5422,3.3291,3.4238,5220414
2021-01-14 12:00:00,3.4236,3.5674,3.1741,3.2949,11632700
2021-01-15 00:00:00,3.2949,3.4438,3.2354,3.3793,6055155
2021-01-15 12:00:00,3.379,3.4326,2.9739,3.2464,6876006
2021-01-16 00:00:00,3.2456,3.5683,3.1236,3.4108,7379753
2021-01-16 12:00:00,3.4112,3.7157,3.2802,3.4259,13342604
2021-01-17 00:00:00,3.4249,3.8311,3.3001,3.6003,10648108
2021-01-17 12:00:00,3.6017,4.02,3.449,3.8328,14232435
2021-01-18 00:00:00,3.8344,4.1747,3.5942,3.9146,11859813
2021-01-18 12:00:00,3.9135,4.0349,3.7539,3.7933,7397410
2021-01-19 00:00:00,3.7944,4.0443,3.75,3.9045,6394609
2021-01-19 12:00:00,3.9049,3.915,3.5953,3.6276,5885413
2021-01-20 00:00:00,3.6279,3.7249,3.35,3.4102,6119342
2021-01-20 12:00:00,3.4086,3.7353,3.324,3.7133,6081831
